,EstablishmentName,Postcode,TelephoneNum,Longitude,Latitude
0,CCfL Key Stage 4 PRU,NW3 2NY,2079748906.0,-0.1607849999999999,51.554178
1,Camden Primary Pupil Referral Unit,NW1 3EX,2037720370.0,-0.140616,51.52771
2,Netley Primary School,NW1 3EX,2037720350.0,-0.140616,51.52771
3,Beckford Primary School,NW6 1QL,2074358646.0,-0.199482,51.550753
4,Brecknock Primary School,NW1 9AL,2074856334.0,-0.127828,51.547464
5,Brookfield Primary School,N19 5DH,2072729627.0,-0.145062,51.563391
6,Carlton Primary School,NW5 4AX,2074851947.0,-0.150013,51.551599
7,Edith Neville Primary School,NW1 1DN,2073877158.0,-0.131139,51.532766
8,Fleet Primary School,NW3 2QT,2074852028.0,-0.160943,51.553461
9,Hawley Infant School,NW1 8NJ,2074855020.0,-0.143102,51.540737
10,New End Primary School,NW3 1HU,2074310961.0,-0.176537,51.558138
11,Primrose Hill School,NW1 8JL,2077228500.0,-0.1518,51.539173
12,Rhyl Primary School,NW5 3HB,2074854899.0,-0.150589,51.547714
13,Richard Cobden Primary School,NW1 0LL,2073875909.0,-0.13639,51.535595
14,Torriano Primary School,NW5 2SJ,2074240202.0,-0.13284,51.549672
15,Gospel Oak Primary School,NW3 2JB,2074857435.0,-0.152963,51.554622
16,Fitzjohn's Primary School,NW3 6NP,2074359797.0,-0.175861,51.553397
17,St Anthony's Preparatory School,NW3 6NP,2074353597.0,-0.175861,51.553397
18,Eleanor Palmer Primary School,NW5 2JA,2074852155.0,-0.139096,51.554367
19,"Christ Church Primary School, Hampstead",NW3 1JH,2074351361.0,-0.176622,51.559254
20,Christ Church School,NW1 4BD,2073877881.0,-0.144369,51.530773
21,Emmanuel Church of England Primary School,NW6 1TF,2074317984.0,-0.194802,51.551901
22,Hampstead Parochial Church of England Primary School,NW3 6TX,2074354135.0,-0.179028,51.556441
23,"Holy Trinity CofE Primary School, NW3",NW3 5SQ,2074359089.0,-0.177772,51.546092
24,"Holy Trinity and Saint Silas CofE Primary School, NW1",NW1 8DE,2072670771.0,-0.145222,51.544545
25,Kentish Town Church of England Primary School,NW5 2TU,2074851279.0,-0.139271,51.549721000000005
26,Rosary Roman Catholic Primary School,NW3 2AE,2077946292.0,-0.166081,51.551617
27,St Aloysius Roman Catholic Junior School,NW1 1PS,2073879591.0,-0.134358,51.531622
