,date,Postcode,geography code,Rural Urban,Variable: All usual residents; measures: Value,Variable: Males; measures: Value,Variable: Females; measures: Value,Variable: Lives in a household; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value,Variable: Area (Hectares); measures: Value,Variable: Density (number of persons per hectare); measures: Value,Longitude,Latitude,Population
0,2011,AL10 0,AL10 0,Total,9935,5039,4896,9855,80,60,243.62,40.8,-0.22781,51.7661,9679.0
1,2011,AL10 8,AL10 8,Total,10998,5648,5350,10833,165,122,216.76,50.7,-0.227127,51.7548,10997.0
2,2011,AL10 9,AL10 9,Total,14967,7640,7327,12219,2748,185,1563.16,9.6,-0.240164,51.7606,14715.0
3,2011,BA10 0,BA10 0,Total,3739,1820,1919,3238,501,143,4235.23,0.9,-2.44729,51.1124,3843.0
4,2011,BA11 1,BA11 1,Total,4992,2434,2558,4941,51,69,93.57,53.4,-2.32177,51.2324,5752.0
5,2011,BA11 2,BA11 2,Total,10935,5358,5577,10841,94,148,2751.34,4.0,-2.31263,51.2463,10272.0
6,2011,BA11 3,BA11 3,Total,4944,2421,2523,4836,108,66,2441.85,2.0,-2.35449,51.2401,5246.0
7,2011,BA11 4,BA11 4,Total,6285,3052,3233,6172,113,60,814.03,7.7,-2.3432,51.2265,6074.0
8,2011,BA11 5,BA11 5,Total,3424,1643,1781,3363,61,63,5742.46,0.6,-2.32212,51.219,3350.0
9,2011,BA11 6,BA11 6,Total,1874,912,962,1872,2,49,716.08,2.6,-2.28757,51.2738,1939.0
10,2011,BA12 0,BA12 0,Total,5660,2748,2912,5611,49,189,15214.68,0.4,-2.08502,51.178,5827.0
11,2011,BA12 6,BA12 6,Total,4285,2096,2189,4212,73,111,6416.43,0.7,-2.27756,51.0996,4238.0
12,2011,BA12 7,BA12 7,Total,3068,1473,1595,3023,45,112,11819.98,0.3,-2.21719,51.1801,3274.0
13,2011,BA12 8,BA12 8,Total,8989,4342,4647,8770,219,138,1279.4,7.0,-2.19278,51.2016,8752.0
14,2011,BA12 9,BA12 9,Total,6506,3140,3366,6317,189,110,893.44,7.3,-2.17358,51.2003,6453.0
15,2011,BA13 2,BA13 2,Total,1303,627,676,1303,0,17,65.18,20.0,-2.19709,51.263,1141.0
16,2011,BA13 3,BA13 3,Total,12876,6213,6663,12740,136,114,1361.43,9.5,-2.18975,51.2599,13168.0
17,2011,BA13 4,BA13 4,Total,6045,2966,3079,6036,9,154,6359.23,1.0,-2.17613,51.2663,5997.0
18,2011,BA14 0,BA14 0,Total,12465,6132,6333,12431,34,127,834.45,14.9,-2.21153,51.3086,12497.0
19,2011,BA14 6,BA14 6,Total,5938,2873,3065,5809,129,109,4435.61,1.3,-2.1686,51.3291,6058.0
