,EstablishmentName,PhaseOfEducation (name),Postcode,TelephoneNum,Longitude,Latitude
0,Beckford Primary School,Primary,NW6 1QL,2074358646.0,-0.199482,51.550753
1,Brecknock Primary School,Primary,NW1 9AL,2074856334.0,-0.127828,51.547464
2,Brookfield Primary School,Primary,N19 5DH,2072729627.0,-0.145062,51.563391
3,Carlton Primary School,Primary,NW5 4AX,2074851947.0,-0.150013,51.551599
4,Edith Neville Primary School,Primary,NW1 1DN,2073877158.0,-0.131139,51.532766
5,Fleet Primary School,Primary,NW3 2QT,2074852028.0,-0.160943,51.553461
6,Hawley Infant School,Primary,NW1 8NJ,2074855020.0,-0.143102,51.540737
7,Netley Primary School,Primary,NW1 3EX,2037720350.0,-0.140616,51.52771
8,New End Primary School,Primary,NW3 1HU,2074310961.0,-0.176537,51.558138
9,Primrose Hill School,Primary,NW1 8JL,2077228500.0,-0.1518,51.539173
10,Rhyl Primary School,Primary,NW5 3HB,2074854899.0,-0.150589,51.547714
11,Richard Cobden Primary School,Primary,NW1 0LL,2073875909.0,-0.13639,51.535595
12,Torriano Primary School,Primary,NW5 2SJ,2074240202.0,-0.13284,51.549672
13,Gospel Oak Primary School,Primary,NW3 2JB,2074857435.0,-0.152963,51.554622
14,Fitzjohn's Primary School,Primary,NW3 6NP,2074359797.0,-0.175861,51.553397
15,Eleanor Palmer Primary School,Primary,NW5 2JA,2074852155.0,-0.139096,51.554367
16,"Christ Church Primary School, Hampstead",Primary,NW3 1JH,2074351361.0,-0.176622,51.559254
17,Christ Church School,Primary,NW1 4BD,2073877881.0,-0.144369,51.530773
18,Emmanuel Church of England Primary School,Primary,NW6 1TF,2074317984.0,-0.194802,51.551901
19,Hampstead Parochial Church of England Primary School,Primary,NW3 6TX,2074354135.0,-0.179028,51.556441
20,"Holy Trinity CofE Primary School, NW3",Primary,NW3 5SQ,2074359089.0,-0.177772,51.546092
21,"Holy Trinity and Saint Silas CofE Primary School, NW1",Primary,NW1 8DE,2072670771.0,-0.145222,51.544545
22,Kentish Town Church of England Primary School,Primary,NW5 2TU,2074851279.0,-0.139271,51.549721000000005
23,Rosary Roman Catholic Primary School,Primary,NW3 2AE,2077946292.0,-0.166081,51.551617
24,St Aloysius Roman Catholic Junior School,Primary,NW1 1PS,2073879591.0,-0.134358,51.531622
25,St Aloysius Roman Catholic Infant School,Primary,NW1 1TA,2073873551.0,-0.131832,51.530343
26,St Dominic's Catholic Primary School,Primary,NW5 4JS,2074855918.0,-0.157525,51.551681
27,St Mary's Kilburn Church of England Primary School,Primary,NW6 4PG,2073726565.0,-0.193355,51.540368
28,St Mary and St Pancras Church of England Primary School,Primary,NW1 1QP,2073876117.0,-0.134446,51.532372
29,St Michael's Church of England Primary School,Primary,NW1 0JA,2074858965.0,-0.138393,51.539095
30,St Patrick's Catholic Primary School,Primary,NW5 3AH,2072671200.0,-0.142812,51.549201
31,St Paul's Church of England Primary School,Primary,NW3 3DS,2077227381.0,-0.163738,51.541383
32,St Eugene de Mazenod Roman Catholic Primary School,Primary,NW6 4LS,2076244837.0,-0.193725,51.54097
33,Our Lady Roman Catholic Primary School,Primary,NW1 0DP,2074857997.0,-0.136797,51.539046
34,Alderwood Primary School,Primary,SE9 2JH,2088506841.0,0.086536,51.446363
35,Cherry Orchard Primary School,Primary,SE7 7DG,2088566766.0,0.033664,51.475826
36,Ealdham Primary School,Primary,SE9 6BP,2088505484.0,0.0352769999999999,51.456733
37,Fossdene Primary School,Primary,SE7 7NQ,2088585585.0,0.026893,51.483893
38,Gordon Primary School,Primary,SE9 1QG,2088505486.0,0.052937,51.45861
39,Greenacres Primary School and Language Impairment Unit,Primary,SE9 3JN,2088574965.0,0.0573679999999999,51.432939000000005
40,Haimo Primary School,Primary,SE9 6DY,2088504911.0,0.041637,51.45539
41,Henwick Primary School,Primary,SE9 6NZ,2088568627.0,0.042586,51.462784
42,Invicta Primary School,Primary,SE3 7HE,2088583831.0,0.020569,51.478975
43,Kidbrooke Park Primary School,Primary,SE3 8HS,2088568315.0,0.032182,51.470024
44,Sherington Primary School,Primary,SE7 7JP,2088585497.0,0.025688,51.480091
45,Thorntree Primary School,Primary,SE7 8AE,2088580268.0,0.041616,51.487504
46,Wyborne Primary School,Primary,SE9 2EH,2088504933.0,0.070355,51.439851
47,Brooklands Primary School,Primary,SE3 9AB,2088528210.0,0.019143,51.463963
48,Montbelle Primary School,Primary,SE9 3EY,2088573909.0,0.061827,51.427546
49,Boxgrove Primary School,Primary,SE2 9JP,2083101912.0,0.11644,51.493264
50,De Lucy Primary School,Primary,SE2 9PD,2083105290.0,0.1099869999999999,51.495475
51,Charlton Manor Primary School,Primary,SE7 7EF,2088566525.0,0.0367829999999999,51.477633
52,Eltham Church of England Primary School,Primary,SE9 1TR,2088501528.0,0.056898,51.451311
53,Our Lady of Grace Catholic Primary School,Primary,SE7 7EZ,2088582262.0,0.026585,51.479618
54,St Mary's Catholic Primary School,Primary,SE9 1UF,2088507835.0,0.064035,51.453496
55,St Thomas More Catholic Primary School,Primary,SE9 6NS,2088569153.0,0.044895,51.462582
56,St Thomas A Becket Roman Catholic Primary School,Primary,SE2 9LY,2083105394.0,0.104174,51.49156
57,Holy Family Catholic Primary School,Primary,SE3 9YX,2088562708.0,0.030393,51.459948
58,Princess May Primary School,Primary,N16 8DF,2072541589.0,-0.0774379999999999,51.552779
59,Tyssen Community Primary School,Primary,N16 6QA,2088064130.0,-0.067471,51.569108
60,Sir Thomas Abney School,Primary,N16 5ED,2088001411.0,-0.08144,51.570794
61,Grasmere Primary School,Primary,N16 9PD,2072544564.0,-0.0839,51.555529
62,Jubilee Primary School,Primary,N16 6NR,2088065446.0,-0.06594,51.56607
63,Holmleigh Primary School,Primary,N16 5PU,2088027420.0,-0.074233,51.570253
64,Grazebrook Primary School,Primary,N16 0QP,2088024051.0,-0.083132,51.564194
65,Benthal Primary School,Primary,N16 7AU,2089859310.0,-0.065188,51.558297
66,St Matthias Church of England Primary School,Primary,N16 8DD,2072541148.0,-0.079354,51.552496000000005
67,"St Mary's Church of England Primary School, Stoke Newington",Primary,N16 0JT,2088002645.0,-0.081925,51.562090000000005
68,Simon Marks Jewish Primary School,Primary,N16 6PD,2088066048.0,-0.06936,51.565398
69,Addison Primary School,Primary,W14 0DT,2076035333.0,-0.218353,51.500294
70,Avonmore Primary School,Primary,W14 8SH,2076039750.0,-0.209334,51.494897
71,Miles Coverdale Primary School,Primary,W12 8JJ,2087435847.0,-0.229054,51.504862
72,Fulham Primary School,Primary,SW6 1JU,2073850535.0,-0.197979,51.483535
73,Old Oak Primary School,Primary,W12 0AS,2087437629.0,-0.2465639999999999,51.519432
74,Queen's Manor School and Special Needs Unit,Primary,SW6 6ND,2073854343.0,-0.2217849999999999,51.479843
75,Sir John Lillie Primary School,Primary,SW6 7LN,2073852107.0,-0.209223,51.483267
76,Sulivan Primary School,Primary,SW6 3BN,2077365869.0,-0.199406,51.472291
